ma_giang_vien,ho_ten,khoa_bo_mon,ngay_sinh,noi_sinh,cccd,ngay_cap_cccd,noi_cap_cccd,dan_toc,ton_giao,so_dien_thoai,dia_chi_thuong_tru,tinh_thanh_pho,phuong_xa
80202,Trần Thùy Hương,KTTT,1975-02-04,Tỉnh Thái Nguyên,092075398454,1996-06-11,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Tin Lành,0351567933,"701 đường Nguyễn Trãi, Phường Phan Đình Phùng",Tỉnh Thái Nguyên,Phường Phan Đình Phùng
80203,Hoàng Hữu Hưng,KTTT,1982-07-13,Tp Đà Nẵng,001182021765,2001-01-14,Công an tỉnh Long An,Mường,Công giáo,0838033974,"947 đường Nguyễn Trãi, Xã Tam Xuân",Tp Đà Nẵng,Xã Tam Xuân
80204,Ngô Văn Phúc,KTTT,1975-06-01,Tỉnh Ninh Bình,048175614293,1994-01-01,Công an tỉnh Đồng Nai,Hoa,Không,0358562185,"101 đường Điện Biên Phủ, Phường Đồng Văn",Tỉnh Ninh Bình,Phường Đồng Văn
80205,Võ Thị Hồng,KTTT,1980-01-21,Tỉnh Thái Nguyên,033080358662,1999-10-09,Công an tỉnh Đồng Nai,Mường,Cao Đài,0351943114,"390 đường Lê Lợi, Xã Xuân Dương",Tỉnh Thái Nguyên,Xã Xuân Dương
80206,Đặng Thị Hồng,KTTT,1973-02-01,Tỉnh Lâm Đồng,027073412126,1995-01-16,Công an tỉnh Đồng Nai,Nùng,Hòa Hảo,0378886101,"568 đường Nguyễn Trãi, Xã Đam Rông 1",Tỉnh Lâm Đồng,Xã Đam Rông 1
80207,Hồ Thị Hà,KTTT,1970-05-14,Thành phố Hà Nội,040070398262,1993-03-24,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Cao Đài,0844447212,"283 đường Điện Biên Phủ, Xã Yên Xuân",Thành phố Hà Nội,Xã Yên Xuân
80208,Nguyễn Thu Lệ,KTTT,1978-04-24,Thành phố Hà Nội,058078937124,2001-02-15,Công an tỉnh Đồng Nai,Hoa,Công giáo,0906596575,"836 đường Cách Mạng Tháng 8, Phường Hồng Hà",Thành phố Hà Nội,Phường Hồng Hà
80209,Hoàng Quang Việt,KTTT,1985-06-06,Tỉnh Quảng Ninh,024185793564,2009-08-02,Công an tỉnh Bình Dương,Mường,Phật giáo,0355193982,"28 đường Điện Biên Phủ, Xã Hoành Mô",Tỉnh Quảng Ninh,Xã Hoành Mô
80210,Nguyễn Thùy Hoa,KTTT,1972-07-22,Tỉnh Ninh Bình,024072342661,1996-08-21,Công an tỉnh Long An,Mường,Hòa Hảo,0379796886,"38 đường Hai Bà Trưng, Xã Nho Quan",Tỉnh Ninh Bình,Xã Nho Quan
80211,Trần Quang Khang,KTTT,1973-04-22,Tỉnh Ninh Bình,058173096561,1997-09-29,Công an tỉnh Bình Dương,Khmer,Cao Đài,0901438889,"227 đường Điện Biên Phủ, Xã Vụ Bản",Tỉnh Ninh Bình,Xã Vụ Bản
80212,Phan Văn Thành,KTTT,1981-01-16,Thành phố Hà Nội,031181112545,2004-02-08,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Không,0373875717,"327 đường Nguyễn Trãi, Xã Phù Đổng",Thành phố Hà Nội,Xã Phù Đổng
80213,Bùi Văn Phong,KTTT,1980-11-04,Tỉnh Thanh Hóa,040180282586,2005-09-19,Công an tỉnh Bình Dương,Tày,Hòa Hảo,0373622660,"905 đường Lê Lợi, Xã Kim Tân",Tỉnh Thanh Hóa,Xã Kim Tân
80214,Phan Thị Quyên,KTTT,1970-12-07,Tỉnh Tuyên Quang,079070918255,1993-04-11,Công an tỉnh Đồng Nai,Nùng,Không,0817147859,"626 đường Điện Biên Phủ, Xã Tân Trào",Tỉnh Tuyên Quang,Xã Tân Trào
80215,Trần Minh Thu,KTTT,1984-10-06,Tỉnh Lạng Sơn,058084912513,2009-06-09,Công an TP. Hồ Chí Minh,Tày,Cao Đài,0321252866,"142 đường Cách Mạng Tháng 8, Xã Quốc Việt",Tỉnh Lạng Sơn,Xã Quốc Việt
80216,Hoàng Minh Linh,KTTT,1990-09-23,Tỉnh An Giang,040090274225,2013-01-07,Công an tỉnh Bình Dương,Nùng,Tin Lành,0379050723,"987 đường Cách Mạng Tháng 8, Xã Khánh Bình",Tỉnh An Giang,Xã Khánh Bình
80217,Trần Minh Hồng,CNPM,1985-07-23,Tp Cần Thơ,033085219034,2009-02-05,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Hòa Hảo,0914384279,"563 đường Cách Mạng Tháng 8, Xã Thới Lai",Tp Cần Thơ,Xã Thới Lai
80218,Trần Minh Chi,CNPM,1987-06-18,Tp Hải Phòng,033087836134,2007-10-20,Công an tỉnh Long An,Mường,Công giáo,0917451713,"831 đường Cách Mạng Tháng 8, Xã An Quang",Tp Hải Phòng,Xã An Quang
80219,Nguyễn Minh Nga,CNPM,1975-10-05,Tỉnh Lâm Đồng,092075095849,1995-04-08,Công an TP. Hồ Chí Minh,Kinh,Công giáo,0855449481,"986 đường Điện Biên Phủ, Xã Tân Hà - Lâm Hà",Tỉnh Lâm Đồng,Xã Tân Hà - Lâm Hà
80220,Huỳnh Minh Phong,CNPM,1977-03-23,Tỉnh Cà Mau,031177729466,2000-09-07,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Tin Lành,0371168457,"336 đường Cách Mạng Tháng 8, Phường Lý Văn Lâm",Tỉnh Cà Mau,Phường Lý Văn Lâm
80221,Đỗ Thị Giang,CNPM,1990-11-23,Tỉnh An Giang,040090636374,2012-09-25,Công an tỉnh Bình Dương,Kinh,Không,0334589297,"916 đường Nguyễn Trãi, Xã Bình Mỹ",Tỉnh An Giang,Xã Bình Mỹ
80222,Phạm Đức An,CNPM,1973-03-15,Tỉnh Tây Ninh,031173324241,1993-10-25,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Không,0344152064,"440 đường Nguyễn Trãi, Xã Cần Đước",Tỉnh Tây Ninh,Xã Cần Đước
80223,Dương Văn Huy,CNPM,1985-02-05,Tỉnh Thanh Hóa,033185005162,2007-03-17,Công an TP. Hồ Chí Minh,Hoa,Cao Đài,0381361115,"903 đường Hai Bà Trưng, Xã Ngọc Lặc",Tỉnh Thanh Hóa,Xã Ngọc Lặc
80224,Nguyễn Văn Thọ,CNPM,1972-09-19,Thành phố Hà Nội,048172753269,1994-08-24,Công an TP. Hồ Chí Minh,Khmer,Phật giáo,0373112196,"987 đường Điện Biên Phủ, Xã Đan Phượng",Thành phố Hà Nội,Xã Đan Phượng
80225,Lê Thùy Tú,CNPM,1990-02-08,Tỉnh Quảng Ninh,058090940438,2009-05-10,Cục CS ĐKQL cư trú và DLQG về dân cư,Mường,Hòa Hảo,0393640376,"247 đường Điện Biên Phủ, Phường Móng Cái 1",Tỉnh Quảng Ninh,Phường Móng Cái 1
80226,Phạm Quang Lộc,CNPM,1981-06-05,Tỉnh Thanh Hóa,031181582710,2002-08-17,Công an tỉnh Bình Dương,Tày,Cao Đài,0940430068,"644 đường Cách Mạng Tháng 8, Xã Nhi Sơn",Tỉnh Thanh Hóa,Xã Nhi Sơn
80227,Đặng Văn Sơn,CNPM,1990-09-18,Tp Hồ Chí Minh,079190418328,2011-06-11,Công an tỉnh Long An,Kinh,Cao Đài,0336914630,"89 đường Điện Biên Phủ, Phường Tân Phước",Tp Hồ Chí Minh,Phường Tân Phước
80228,Đỗ Văn Hải,CNPM,1979-11-24,Tỉnh Đồng Nai,001179202758,2001-08-22,Cục CS ĐKQL cư trú và DLQG về dân cư,Khmer,Hòa Hảo,0394252410,"827 đường Điện Biên Phủ, Phường Chơn Thành",Tỉnh Đồng Nai,Phường Chơn Thành
80229,Nguyễn Thùy Huệ,CNPM,1988-11-03,Tỉnh Tuyên Quang,040088507925,2007-04-28,Công an tỉnh Bình Dương,Hoa,Không,0854191380,"880 đường Nguyễn Trãi, Xã Tùng Vài",Tỉnh Tuyên Quang,Xã Tùng Vài
80230,Hoàng Minh Chi,CNPM,1982-03-06,Tp Đà Nẵng,040082635365,2002-09-01,Cục CS ĐKQL cư trú và DLQG về dân cư,Kinh,Cao Đài,0881951802,"824 đường Cách Mạng Tháng 8, Xã Trà Leng",Tp Đà Nẵng,Xã Trà Leng
80231,Lê Thị Như,PĐTĐH,1979-05-11,Tỉnh Thanh Hóa,033079053494,1999-01-12,Công an tỉnh Long An,Kinh,Phật giáo,0827597383,"7 đường Điện Biên Phủ, Xã Hoằng Châu",Tỉnh Thanh Hóa,Xã Hoằng Châu
80232,Bùi Thị Anh,PĐTĐH,1990-12-01,Tỉnh Lạng Sơn,031090413836,2013-07-14,Cục CS ĐKQL cư trú và DLQG về dân cư,Tày,Tin Lành,0380241038,"718 đường Hai Bà Trưng, Xã Tân Thành",Tỉnh Lạng Sơn,Xã Tân Thành
80233,Hoàng Quang Đạt,PĐTĐH,1986-03-21,Tỉnh Cao Bằng,058186906234,2005-01-15,Cục CS ĐKQL cư trú và DLQG về dân cư,Hoa,Hòa Hảo,0885655743,"967 đường Lê Lợi, Xã Bảo Lạc",Tỉnh Cao Bằng,Xã Bảo Lạc
80234,Phạm Đức Việt,PĐTĐH,1973-03-15,Tỉnh Vĩnh Long,031173185374,1993-08-07,Công an TP. Hồ Chí Minh,Hoa,Không,0374112490,"856 đường Hai Bà Trưng, Xã Hưng Nhượng",Tỉnh Vĩnh Long,Xã Hưng Nhượng
80235,Trần Thu Thu,PĐTĐH,1982-09-02,Tỉnh Tuyên Quang,024082206788,2003-02-24,Cục CS ĐKQL cư trú và DLQG về dân cư,Tày,Công giáo,0821712100,"134 đường Lê Lợi, Xã Tân Thanh",Tỉnh Tuyên Quang,Xã Tân Thanh
80236,Phan Thị Hồng,PĐTĐH,1972-01-03,Tỉnh Tây Ninh,048072151070,1991-12-06,Công an tỉnh Đồng Nai,Hoa,Công giáo,0859667066,"363 đường Lê Lợi, Phường Long Hoa",Tỉnh Tây Ninh,Phường Long Hoa
80237,Hoàng Thùy Vũ,PĐTĐH,1974-01-20,Tỉnh Quảng Trị,092074476870,1998-02-19,Công an tỉnh Đồng Nai,Tày,Tin Lành,0944626383,"814 đường Nguyễn Trãi, Xã Mỹ Thủy",Tỉnh Quảng Trị,Xã Mỹ Thủy
80238,Hoàng Minh Thanh,PĐTĐH,1987-08-12,Tỉnh Cà Mau,040087564205,2008-03-17,Công an TP. Hồ Chí Minh,Kinh,Phật giáo,0820407859,"998 đường Lê Lợi, Phường Lý Văn Lâm",Tỉnh Cà Mau,Phường Lý Văn Lâm
80239,Hoàng Thu Nhung,BMTL,1987-12-02,Tỉnh Phú Thọ,058087652239,2012-03-21,Công an tỉnh Đồng Nai,Tày,Hòa Hảo,0335905992,"972 đường Lê Lợi, Xã Xuân Lãng",Tỉnh Phú Thọ,Xã Xuân Lãng
80240,Phạm Văn Nam,BMTL,1985-01-03,Tỉnh Nghệ An,058185308705,2009-07-28,Công an tỉnh Đồng Nai,Kinh,Hòa Hảo,0812525002,"722 đường Lê Lợi, Xã Tân An",Tỉnh Nghệ An,Xã Tân An
80241,Hoàng Quang Phúc,BMTL,1981-12-22,Tp Hồ Chí Minh,079181545226,2001-12-05,Công an tỉnh Đồng Nai,Mường,Tin Lành,0385289539,"388 đường Hai Bà Trưng, Xã Phước Hải",Tp Hồ Chí Minh,Xã Phước Hải
80242,Hoàng Quang Lộc,BMTL,1975-12-01,Tỉnh Tuyên Quang,001175295939,1995-10-14,Công an tỉnh Đồng Nai,Mường,Tin Lành,0837251355,"652 đường Nguyễn Trãi, Xã Trường Sinh",Tỉnh Tuyên Quang,Xã Trường Sinh
80243,Vũ Thị Giang,TTNN,1970-05-07,Tỉnh Thái Nguyên,027070410067,1989-06-21,Công an TP. Hồ Chí Minh,Nùng,Tin Lành,0362676586,"849 đường Điện Biên Phủ, Phường Tích Lương",Tỉnh Thái Nguyên,Phường Tích Lương
80244,Lê Văn Thành,TTNN,1984-02-26,Tỉnh Nghệ An,001184541152,2007-07-22,Công an TP. Hồ Chí Minh,Tày,Tin Lành,0352181599,"722 đường Nguyễn Trãi, Xã Tiền Phong",Tỉnh Nghệ An,Xã Tiền Phong
80245,Bùi Thị Nga,TTNN,1975-01-04,Tỉnh Thái Nguyên,092075688444,1993-08-10,Công an tỉnh Đồng Nai,Tày,Không,0821069872,"370 đường Nguyễn Trãi, Xã Đồng Hỷ",Tỉnh Thái Nguyên,Xã Đồng Hỷ
80246,Phan Thị Lan,TTNN,1976-02-01,Tỉnh Hà Tĩnh,024076171467,1998-03-20,Công an tỉnh Bình Dương,Kinh,Công giáo,0384186256,"192 đường Điện Biên Phủ, Xã Kỳ Hoa",Tỉnh Hà Tĩnh,Xã Kỳ Hoa
*, NULL, NULL, 2000-01-01, NULL, NULL, 2000-01-01, NULL, NULL, NULL, 0000000000, NULL, NULL, NULL
